name	freq
greece	67
greek	62
said	60
european	47
euro	46
tsipras	40
government	33
bailout	30
will	30
new	29
greeces	26
minister	26
proposals	24
zone	23
prime	22
creditors	21
deal	21
international	21
debt	20
today	19
alexis	18
greeks	18
europe	17
referendum	17
athens	16
banks	15
reform	15
german	14
spokesman	14
tax	14
vote	14
yesterday	14
eurozone	13
package	13
parliament	13
plan	13
central	12
coast	12
fund	12
leaders	12
loan	12
reforms	12
bank	11
crisis	11
deadline	11
germany	11
make	11
mandate	11
mediterranean	11
negotiations	11
