name	freq
said	55
paris	35
islamic	29
people	28
attacks	27
state	25
killed	21
syria	21
hall	19
hollande	19
iraq	18
least	15
air	14
gunmen	14
iraqi	14
attack	13
coalition	13
four	13
france	13
french	13
concert	12
assault	11
national	11
strikes	11
terrorist	11
city	10
francois	10
official	10
police	10
coordinated	9
month	9
president	9
sinjar	9
soccer	9
stadium	9
town	9
two	9
usled	9
yesterday	9
emergency	8
founder	8
government	8
group	8
high	8
jordanian	8
kurdish	8
locations	8
security	8
alert	7
around	7
