name	freq
iran	29
deal	28
netanyahu	27
said	24
nuclear	22
israeli	19
obama	13
will	13
police	12
speech	11
minister	10
congress	9
prime	9
obamas	8
palestinian	8
yesterday	8
barack	7
benjamin	7
irans	7
israel	7
jerusalem	7
president	7
attack	6
weapons	6
bomb	5
leader	5
station	5
told	5
washington	5
alternative	4
arms	4
border	4
car	4
countdown	4
earlier	4
east	4
farewell	4
incident	4
injuring	4
israels	4
nightmare	4
people	4
potential	4
relations	4
saying	4
security	4
standing	4
talks	4
tehran	4
took	4
