name	freq
said	11
detected	5
french	5
hungary	5
immigrants	5
invisible	5
last	5
charges	4
depth	4
francis	4
investigation	4
legislation	4
mammoths	4
pope	4
wrangel	4
activity	3
african	3
children	3
first	3
genetic	3
immigration	3
island	3
migrants	3
military	3
orban	3
population	3
queen	3
rules	3
silvia	3
submarine	3
swedens	3
swedish	3
two	3
want	3
woolly	3
year	3
yesterday	3
abused	2
added	2
ago	2
allegations	2
big	2
brussels	2
central	2
countries	2
described	2
dont	2
dropped	2
european	2
experienced	2
