name	freq
said	17
missile	16
ukraine	16
dutch	14
board	13
eastern	11
report	11
buk	10
crash	10
russian	9
safety	9
russia	8
flight	7
ukrainian	7
july	6
people	6
rebels	6
say	6
shot	6
wreckage	6
yesterday	6
aviation	5
downed	5
investigation	5
military	5
montenegro	5
plane	5
probe	5
syria	5
western	5
airlines	4
civil	4
findings	4
first	4
malaysia	4
russianmade	4
surfaceair	4
today	4
air	3
aircraft	3
belarus	3
brought	3
election	3
fighting	3
fired	3
forces	3
head	3
including	3
international	3
intervention	3
