name	freq
greece	62
euro	59
zone	54
reuters	49
brussels	47
bailout	43
said	22
european	20
greek	20
monday	19
leaders	18
deal	17
talks	17
billion	16
summit	14
third	14
debt	12
finance	12
fund	12
keep	12
nearbankrupt	12
country	11
will	11
eurogroup	10
euros	10
ministers	10
tuesday	10
night	9
officials	9
athens	8
emergency	8
faces	8
minister	8
conditions	7
currency	7
financing	7
government	7
friday	6
german	6
official	6
open	6
return	6
statement	6
thursday	6
tough	6
tsipras	6
agreeing	5
agreement	5
commission	5
dijsselbloem	5
