name	freq
nuclear	115
iran	104
reuters	76
switzerland	73
talks	66
lausanne	60
powers	60
deal	53
said	42
programme	39
deadline	31
world	30
irans	26
six	25
agreement	24
thursday	24
major	23
preliminary	23
tehrans	23
framework	22
says	20
wednesday	20
accord	18
reached	18
cross	17
foreign	17
red	17
will	17
yemen	16
aid	14
minister	14
reach	14
tuesday	13
day	12
progress	12
coalition	11
final	11
obama	11
geneva	10
political	10
saudiled	10
united	10
details	9
international	9
iranian	9
medical	9
negotiations	9
curbing	8
end	8
monday	8
