name	freq
china	92
reuters	50
beijing	41
sea	32
south	31
said	29
chinese	21
disputed	18
chinas	13
india	13
indian	10
kerry	10
state	10
wednesday	10
will	10
military	9
minister	9
official	9
washington	9
foreign	8
police	8
two	8
friday	7
islands	7
philippines	7
president	7
rights	7
ships	7
states	7
ties	7
united	7
aircraft	6
build	6
despite	6
dispute	6
freedom	6
island	6
jinping	6
modi	6
mutual	6
navigation	6
pentagon	6
premier	6
relations	6
russian	6
sending	6
tension	6
trust	6
tuesday	6
visits	6
