name	freq
paris	194
reuters	136
attacks	89
france	68
said	68
french	64
state	52
brussels	48
islamic	46
climate	38
security	33
minister	32
monday	32
police	30
tuesday	30
global	26
nov	26
syria	25
belgium	23
wednesday	23
hollande	22
president	22
alert	20
attack	20
militants	20
people	18
summit	18
suspected	18
will	18
militant	16
belgian	15
berlin	15
day	15
change	14
russia	14
thursday	14
deadly	13
following	13
man	13
putin	13
russian	13
european	12
francois	12
says	12
week	12
world	12
government	11
killed	11
prime	11
source	11
