name	freq
guatemala	13
president	11
city	8
reuters	8
guatemalan	7
otto	7
perez	7
corruption	5
amid	4
congress	4
scandal	4
stand	4
calls	3
court	3
customs	3
graft	3
impeachment	3
pressure	3
racket	3
sunday	3
will	3
allegations	2
attorney	2
bid	2
despite	2
dismissed	2
election	2
finance	2
general	2
government	2
guatemalas	2
immunity	2
impeach	2
involvement	2
levelled	2
minister	2
mounting	2
presidential	2
prosecutors	2
refused	2
resign	2
said	2
says	2
special	2
suspected	2
testify	2
thousands	2
trial	2
tuesday	2
unbacked	2
