name	freq
indonesia	15
reuters	15
australian	14
execution	11
drug	10
said	10
two	10
indonesian	9
australia	8
death	8
island	8
smugglers	8
indonesias	7
prisoner	6
row	6
swap	6
treatment	6
convicted	5
convicts	5
face	5
jakarta	5
thursday	5
days	4
friday	4
magnitude	4
men	4
official	4
proposal	4
sydney	4
transferred	4
chief	3
complained	3
complains	3
earthquake	3
executions	3
foreign	3
foreigners	3
formal	3
international	3
lives	3
lodge	3
measuring	3
minister	3
officials	3
place	3
police	3
prisoners	3
protest	3
save	3
smiling	3
