name	freq
iran	161
nuclear	153
reuters	97
powers	95
talks	85
vienna	72
said	70
deal	67
major	51
six	46
agreement	45
programme	39
says	36
irans	35
foreign	32
thursday	31
iranian	30
deadline	28
sanctions	27
minister	26
issues	25
sunday	24
world	24
tehran	20
close	18
friday	18
official	18
will	18
agency	17
monday	17
tehrans	17
house	16
news	16
white	16
remain	15
states	15
united	15
final	14
negotiations	14
historic	13
reach	13
washington	13
continue	12
extended	12
isna	12
reached	12
resolve	12
tuesday	12
atomic	11
dispute	11
