name	freq
iraq	66
reuters	52
islamic	50
state	43
said	35
turkish	35
turkey	33
baghdad	25
syria	25
iraqi	24
troops	23
says	18
united	18
strikes	17
military	16
northern	16
withdraw	16
foreign	15
ankara	14
states	13
allies	12
deployment	12
erdogan	12
minister	12
will	12
thursday	11
iraqs	10
militants	10
ministry	10
soldiers	10
washington	10
air	9
city	9
council	9
president	9
border	8
coalition	8
forces	8
friday	8
monday	8
security	8
militant	7
nations	7
talks	7
tayyip	7
tuesday	7
camp	6
group	6
mosul	6
prime	6
