name	freq
mexican	22
reuters	17
convoy	15
egyptian	15
said	15
egypt	14
security	14
forces	13
killed	13
mexico	13
mexicans	12
tourists	12
tourist	10
city	9
desert	9
eight	9
cairo	8
militants	8
monday	8
attack	7
bombing	7
mexicos	7
western	7
mistaken	6
aerial	5
bombed	5
egypts	5
kill	5
ministry	5
accidentally	4
apparently	4
army	4
foreign	4
interior	4
military	4
people	4
relative	4
two	4
countrys	3
deadly	3
egyptians	3
government	3
group	3
including	3
injured	3
minister	3
official	3
police	3
six	3
sources	3
