name	freq
china	33
philippines	19
sea	18
south	16
reuters	13
said	13
summit	12
apec	10
asiapacific	9
beijing	9
chinese	9
foreign	9
attend	8
manila	8
amid	7
heal	7
rift	7
aware	6
case	6
discuss	6
minister	6
next	6
plan	6
president	6
says	6
will	6
cooperation	5
economic	5
tensions	5
week	5
arbitration	4
chinas	4
claims	4
disputed	4
ministry	4
relations	4
rival	4
strained	4
tribunal	4
wang	4
disputes	3
forum	3
jinping	3
leaders	3
monday	3
philippine	3
tuesday	3
asia	2
beijingmanila	2
constitutional	2
