name	freq
reuters	80
syria	71
russia	64
russian	54
said	48
military	43
moscow	34
president	31
putin	28
ukraine	25
state	23
islamic	20
minister	18
will	18
billion	17
kremlin	17
says	17
vladimir	17
syrian	16
thursday	15
forces	14
new	14
russias	14
washington	13
foreign	12
monday	12
pugachev	12
support	12
claim	11
east	11
friday	11
moscows	11
paris	11
tuesday	11
two	11
air	10
aircraft	10
banker	10
iran	10
obama	10
putins	10
rebels	10
united	10
war	10
base	9
buildup	9
france	9
middle	9
nato	9
officials	9
