name	freq
saudi	150
shiite	92
cleric	86
execution	74
reuters	73
arabia	57
prominent	42
saturday	39
nimr	36
said	33
iran	28
arabias	27
dubai	24
embassy	23
says	22
alnimr	21
muslim	21
baghdad	19
executed	19
riyadh	19
sunday	19
iranian	18
sectarian	15
tehran	15
foreign	14
leader	14
state	14
region	13
ties	13
protesters	11
irans	10
iraq	10
iraqi	10
news	10
sunni	10
will	10
across	9
iraqs	9
shiites	9
tensions	9
condemned	8
diplomatic	8
kingdom	8
kuwait	8
ministry	8
minority	8
ruling	8
top	8
agency	7
called	7
