name	freq
south	12
sudans	12
two	12
region	10
reuters	10
darfur	8
kidnapped	8
said	8
russian	7
russians	7
sudanese	7
tuesday	6
airline	5
area	5
aircraft	4
embassy	4
freed	4
khartoum	4
rebel	4
civil	3
detained	3
food	3
helicopter	3
khartoummoscow	3
landed	3
lands	3
officials	3
people	3
program	3
servant	3
three	3
utair	3
working	3
world	3
another	2
ceasefire	2
conflict	2
country	2
deal	2
humanitarian	2
juba	2
leaders	2
nairobi	2
nations	2
newest	2
put	2
rebelheld	2
rebels	2
spokeswoman	2
sudan	2
