name	freq
syria	173
reuters	136
said	92
syrian	89
state	71
talks	62
vienna	51
foreign	47
islamic	47
friday	44
forces	42
russia	42
russian	42
minister	35
moscow	35
iran	30
air	29
beirut	29
special	27
war	26
will	25
strikes	24
conflict	23
political	23
washington	23
first	22
government	22
opposition	22
president	22
says	22
crisis	21
united	21
syrias	20
peace	19
russias	19
wednesday	19
news	18
official	18
thursday	18
town	18
group	17
iraq	17
monday	17
states	17
agency	16
fighting	16
international	16
kerry	15
ministry	15
new	15
