name	freq
reuters	95
aden	88
yemen	87
said	55
saudiled	52
houthi	48
air	45
yemens	45
fighters	39
yemeni	39
coalition	31
saudi	31
strikes	29
residents	24
central	22
houthis	22
red	21
forces	20
port	20
president	20
cross	19
monday	19
foreign	18
sanaa	18
aid	17
hadi	17
tuesday	17
military	16
minister	16
people	16
city	15
district	15
abdrabbu	14
heavy	14
mansour	14
qaeda	14
strike	14
thursday	14
troops	14
arabia	13
camp	12
medical	12
saturday	12
week	12
back	11
least	11
united	11
warplanes	11
campaign	10
humanitarian	10
