name	freq
chile	42
tsunami	33
quake	25
earthquake	22
magnitude	18
coast	16
powerful	15
santiago	15
people	13
buildings	11
capital	11
causing	11
chiles	11
strong	11
sway	11
warning	11
hit	10
shakes	10
waves	9
hawaii	8
new	7
small	7
night	6
north	6
streets	6
wednesday	6
zealand	6
advisory	5
aftershocks	5
california	5
center	5
issued	5
japan	5
killed	5
northern	5
struck	5
authorities	4
five	4
honolulu	4
least	4
living	4
said	4
three	4
watch	4
chileans	3
civil	3
felt	3
flooding	3
frightening	3
hits	3
