name	freq
paris	439
attacks	289
french	88
terror	76
police	70
says	65
france	64
state	51
islamic	43
security	42
brussels	40
latest	39
deadly	38
killed	35
president	34
minister	33
new	31
people	31
raid	31
last	26
mastermind	25
world	24
group	23
suspected	23
will	23
arrested	21
leaders	21
said	21
say	21
terrorist	21
belgian	19
isis	19
suburb	19
syria	19
monday	18
obama	18
times	18
victims	18
economic	17
least	17
stocks	17
woman	17
local	16
official	16
prime	16
two	16
air	15
capital	15
dead	15
media	15
