name	freq
iran	145
deal	113
nuclear	106
washington	34
says	29
irans	27
iranian	26
president	26
will	24
world	24
obama	22
tehran	22
powers	21
vienna	21
agreement	20
united	19
landmark	16
program	16
barack	15
leader	15
reached	15
foreign	13
minister	13
new	13
said	12
tuesday	12
accord	11
historic	11
obamas	11
saudi	10
states	10
diplomatic	9
israeli	9
monday	9
nuke	9
sanctions	9
council	8
diplomat	8
latest	8
resolution	8
talks	8
curb	7
diplomats	7
israels	7
jerusalem	7
republicans	7
state	7
arab	6
end	6
exchange	6
