name	freq
bomb	10
kenya	10
air	7
fake	7
france	7
detained	6
islamic	6
paris	6
forced	5
kenyas	5
landing	5
official	5
allegiance	4
alshabab	4
extremist	4
fighters	4
nairobi	4
passenger	4
police	4
prosecutors	4
emergency	3
french	3
said	3
says	3
allied	2
alqaida	2
chief	2
extremists	2
flight	2
found	2
hidden	2
instead	2
kenyan	2
killing	2
lavatory	2
make	2
mandera	2
north	2
northern	2
officer	2
parisbound	2
passengers	2
planting	2
pledge	2
pledged	2
rebels	2
retired	2
roadside	2
somalias	2
split	2
