name	freq
malaysia	28
migrants	20
stranded	15
indonesia	13
sea	13
rohingya	9
graves	8
malaysian	8
shelter	8
temporary	8
boat	7
crisis	7
kuala	7
lumpur	7
said	7
suspected	7
people	6
police	6
provide	6
southeast	6
human	5
military	5
myanmar	5
thousands	5
traffickers	5
trafficking	5
victims	5
abandoned	4
air	4
asia	4
believed	4
first	4
fleeing	4
humanitarian	4
muslims	4
patrols	4
philippine	4
search	4
thailand	4
wednesday	4
agreed	3
asias	3
authorities	3
bangkok	3
boats	3
border	3
breakthrough	3
camps	3
china	3
coast	3
