name	freq
nepal	26
constitution	19
new	15
kathmandu	11
security	10
nepals	8
protests	8
himalayan	7
ahead	6
political	6
assembly	5
constituent	5
hindu	5
nations	5
steps	5
amid	4
calls	4
nation	4
police	4
proclamation	4
stepped	4
decade	3
draft	3
federal	3
infighting	3
protesters	3
signs	3
sunday	3
two	3
violent	3
voting	3
weeks	3
accused	2
adopted	2
also	2
approves	2
back	2
celebrate	2
churches	2
clash	2
countrys	2
crossroads	2
deadly	2
diplomat	2
ethnic	2
explosions	2
groupsthousands	2
india	2
left	2
longawaited	2
