name	freq
russian	67
syria	42
says	26
syrian	25
moscow	21
airstrikes	17
military	17
russia	17
said	17
president	14
officials	13
air	12
defense	12
amid	11
offensive	11
turkey	11
missiles	10
troops	10
airspace	9
central	9
cruise	9
ground	9
rebels	9
backed	8
beirut	8
fighting	8
government	8
pentagon	8
putin	8
russias	8
say	8
state	8
two	8
alliance	7
carter	7
iran	7
islamic	7
minister	7
moscows	7
nato	7
official	7
base	6
damascus	6
forces	6
insurgents	6
nuclear	6
strikes	6
tuesday	6
wednesday	6
attack	5
