name	freq
syria	139
russia	55
russian	51
state	48
syrian	48
president	46
united	44
says	43
nations	41
airstrikes	40
islamic	40
obama	34
said	29
military	27
putin	26
will	20
washington	19
group	18
moscow	18
russias	16
assad	15
bashar	15
latest	15
minister	15
syrias	15
barack	14
groups	14
new	14
world	14
turkey	13
warplanes	13
crisis	12
thursday	12
vladimir	12
war	12
fighting	11
government	11
militants	11
states	11
coalition	10
iraq	10
opposition	10
talks	10
air	9
assads	9
europe	9
iran	9
leaders	9
meeting	9
officials	9
