name	freq
thai	26
court	14
murder	14
myanmar	14
government	13
backpackers	12
british	12
shrimp	12
bangkok	11
says	11
two	11
thailand	10
thailands	10
death	8
industry	8
island	8
last	8
migrants	8
resort	8
slavery	8
military	7
found	6
ignoring	6
investigation	6
koh	6
myanmars	6
police	6
samui	6
questions	5
sentences	5
thursday	5
verdict	5
year	5
case	4
chief	4
conviction	4
countrys	4
happy	4
head	4
highlighted	4
junta	4
people	4
percent	4
published	4
rule	4
webmaster	4
army	3
attention	3
bludgeoned	3
calling	3
