name	freq
taiwan	10
party	9
presidential	8
taiwans	8
candidate	7
ruling	7
angeles	6
los	6
dump	4
indicted	4
killed	4
nationalist	4
nationalists	4
organizer	4
taipei	4
baby	3
doctor	3
dumped	3
election	3
extraordinary	3
favored	3
flight	3
months	3
opposition	3
proindependence	3
three	3
unpopular	3
windelegates	3
angelica	2
beijing	2
charges	2
delivers	2
exploding	2
fire	2
first	2
heavy	2
homicide	2
honeymoon	2
hundreds	2
including	2
indictment	2
injured	2
negligent	2
park	2
people	2
physician	2
powder	2
recommends	2
saturday	2
set	2
