name	freq
venezuela	28
caracas	14
protest	8
venezuelan	8
antigovernment	7
dakota	6
exploration	6
government	6
guyana	6
north	6
yearold	6
president	5
socialist	5
american	4
chavez	4
daily	4
edition	4
missionaries	4
neighboring	4
newspaper	4
oil	4
opposition	4
says	4
south	4
started	4
trinidad	4
amid	3
crackdown	3
cristobal	3
detained	3
dialogue	3
killed	3
maduro	3
nicolas	3
venezuelans	3
venezuelas	3
waters	3
another	2
arrest	2
attention	2
ban	2
boy	2
calling	2
coast	2
common	2
contested	2
countrys	2
criticize	2
days	2
deadly	2
