name	freq
vietnam	17
assembly	7
report	7
rights	7
hanoi	6
launch	6
vietnamese	6
human	5
national	5
airport	4
hijacking	4
indonesians	4
international	4
new	4
oil	4
persecution	4
says	4
bangkok	3
cancel	3
cancels	3
ethnic	3
forced	3
governments	3
group	3
minority	3
official	3
overwhelmingly	3
tanker	3
thailand	3
thursday	3
vietnams	3
accommodate	2
affect	2
apprehended	2
approved	2
approves	2
bao	2
coast	2
commissar	2
communistruled	2
confess	2
confessed	2
construction	2
country	2
doan	2
eight	2
flash	2
floods	2
friday	2
government	2
