name	freq
indonesia	26
drug	20
australian	18
death	13
australia	12
execution	12
two	12
row	11
said	11
indonesian	10
executed	8
firing	8
australians	7
australias	7
convicts	7
minister	7
brazil	6
cilacap	6
indonesias	6
squad	6
sydney	6
traffickers	6
abbott	5
canberra	5
foreign	5
government	5
anger	4
eight	4
executions	4
jakarta	4
myuran	4
nine	4
police	4
tony	4
trafficking	4
wednesday	4
ambassador	3
andrew	3
bali	3
brazilian	3
case	3
convict	3
convicted	3
court	3
following	3
lawyer	3
midnight	3
monday	3
prime	3
prison	3
