name	freq
bangladesh	13
one	10
shiite	10
attack	8
police	8
dhaka	7
mosque	7
said	7
dead	6
islamic	6
state	6
two	6
community	5
members	5
muslim	5
three	5
thursday	5
propaganda	4
second	4
commissioner	3
countrys	3
gunmen	3
islamist	3
killing	3
responsibility	3
shia	3
shooting	3
tiny	3
wounding	3
activists	2
avert	2
bangladeshi	2
bangladeshs	2
banned	2
biggest	2
called	2
catastrophe	2
chief	2
claimed	2
claims	2
climate	2
detained	2
detains	2
fire	2
group	2
including	2
involved	2
jihadi	2
john	2
leaders	2
