name	freq
indonesia	6
safety	6
sources	6
toronto	5
data	4
election	4
two	4
agency	3
airline	3
audit	3
aviation	3
canadian	3
cope	3
country	3
dump	3
familiar	3
foundation	3
hackers	3
hurt	3
inadequate	3
land	3
largely	3
matter	3
ministry	3
montrealtoronto	3
poll	3
poorly	3
reuters	3
said	3
scandal	3
scored	3
staff	3
struggles	3
thomson	3
transportation	3
understaffed	3
website	3
according	2
air	2
ashley	2
ashleymadisoncom	2
aug	2
campaign	2
companies	2
cyber	2
drafted	2
emails	2
escaped	2
expansion	2
federal	2
