name	freq
germany	39
greece	28
ukraine	28
euro	25
german	25
said	23
berlin	22
zone	22
loan	18
minister	16
says	16
new	15
thursday	15
france	14
leaders	14
russia	14
bailout	13
ceasefire	13
athens	12
extension	12
agreement	11
government	11
president	11
will	11
program	10
call	9
finance	9
merkel	9
putin	9
extend	8
greek	8
request	8
submit	8
told	8
wednesday	8
dead	7
debaltseve	7
tuesday	7
agreed	6
deal	6
feb	6
greeces	6
international	6
museum	6
peace	6
zurich	6
angela	5
billion	5
chancellor	5
eastern	5
