name	freq
said	33
cairo	30
saudiled	30
saudi	29
houthi	28
yemen	25
strikes	24
yemens	22
air	21
arabia	21
saada	20
egyptian	18
state	16
forces	15
fiveday	14
houthis	14
coalition	13
border	11
ceasefire	11
friday	11
mubarak	11
three	11
yemeni	11
cairoaden	10
hit	10
humanitarian	10
province	10
years	10
proposed	9
provinces	9
thursday	9
truce	9
two	9
civilians	8
iranianallied	8
president	8
sons	8
airport	7
court	7
former	7
group	7
jail	7
may	7
rebels	7
residents	7
saturday	7
sunday	7
warplanes	7
aid	6
areas	6
