name	freq
germanwings	22
french	19
plane	18
alps	15
crash	15
france	14
said	13
tuesday	12
airbus	11
spanish	11
crashed	10
spain	9
spains	8
barcelona	7
madrid	7
flight	6
german	6
victims	6
jet	5
operated	5
says	5
southern	5
wednesday	5
airline	4
budget	4
dead	4
hollande	4
identified	4
lufthansas	4
merkel	4
passenger	4
people	4
prime	4
remote	4
seynelesalpes	4
survivors	4
airport	3
alpine	3
area	3
board	3
carrying	3
crashes	3
deputy	3
germany	3
including	3
killing	3
likely	3
lufthansa	3
minister	3
paris	3
