name	freq
paris	649
attacks	362
police	197
french	181
said	179
france	154
state	118
islamic	117
last	88
people	80
killed	78
nov	76
attack	69
brussels	69
suspected	67
raid	65
security	65
syria	64
two	61
friday	55
minister	51
tuesday	49
wednesday	47
president	46
week	46
capital	45
hollande	44
mastermind	43
one	43
weeks	42
belgian	41
belgium	41
russia	40
today	39
militants	38
thursday	37
air	36
fridays	36
united	36
says	35
source	35
suicide	35
abaaoud	34
states	34
fight	33
new	33
terrorism	33
authorities	32
following	32
group	32
