name	freq
syriza	11
greek	8
election	7
athens	6
belgian	6
lead	5
man	5
plot	5
poll	5
algerian	4
antibailout	4
attack	4
greece	4
greeces	4
islamist	4
officials	4
party	4
said	4
belgium	3
foiled	3
less	3
nears	3
opinion	3
opposition	3
police	3
sundays	3
week	3
ahead	2
alliance	2
appear	2
appears	2
conservatives	2
day	2
detained	2
extends	2
extradite	2
extradition	2
former	2
gaining	2
link	2
linked	2
momentum	2
monday	2
moving	2
papandreou	2
polls	2
possible	2
prosecutor	2
prosecutors	2
separate	2
