name	freq
plane	22
indonesian	20
jakarta	20
crashed	18
indonesia	16
papua	15
said	13
people	12
board	11
province	11
rescuers	11
air	10
indonesias	10
search	10
passenger	9
rescue	9
two	8
aircraft	7
aviation	7
cabinet	7
trigana	7
agency	6
crash	6
growth	6
mountainous	6
safety	6
say	6
sources	6
southeast	6
ago	5
carrying	5
monday	5
new	5
officials	5
president	5
terrain	5
wreckage	5
archipelago	4
asian	4
bodies	4
cash	4
country	4
days	4
disasters	4
economy	4
efforts	4
found	4
joko	4
latest	4
ministers	4
