name	freq
japanese	27
islamic	22
state	22
two	19
video	15
japan	14
captives	13
million	12
tuesday	12
group	11
hostages	11
show	10
tokyo	10
abe	9
japans	9
kill	9
purporting	8
ransom	8
online	7
said	7
lives	6
minister	6
purported	6
threatens	6
demanding	5
prime	5
shinzo	5
threat	5
unless	5
china	4
falling	4
fukushima	4
jerusalem	4
militant	4
nuclear	4
released	4
save	4
storage	4
tank	4
threatening	4
unacceptable	4
water	4
worker	4
blackclad	3
chinese	3
condemned	3
figure	3
foreign	3
government	3
hours	3
