name	freq
state	69
islamic	56
syrian	40
palmyra	37
beirut	36
city	32
said	27
syria	27
syrias	20
forces	18
group	18
insurgents	15
ancient	14
killed	14
fighters	13
monitor	11
control	10
monitoring	10
says	10
seized	10
army	9
hezbollah	9
historic	9
hospital	9
least	9
militants	9
people	9
shiite	9
war	9
wednesday	9
ramadi	8
thursday	8
air	7
days	7
government	7
iraqi	7
military	7
advance	6
besieged	6
human	6
iraq	6
observatory	6
rights	6
sunday	6
around	5
bashar	5
central	5
fighting	5
near	5
president	5
