name	freq
libya	12
state	8
islamic	7
rival	5
two	5
declaration	4
french	4
missions	4
paris	4
according	3
areas	3
conflict	3
ending	3
general	3
libyan	3
libyas	3
meeting	3
parliament	3
political	3
principles	3
rome	3
signed	3
tunisia	3
african	2
agreement	2
aimed	2
aircraft	2
arabiya	2
congress	2
controlled	2
deal	2
document	2
fighters	2
france	2
hampered	2
intelligence	2
international	2
italy	2
lack	2
lawmakers	2
military	2
national	2
nations	2
north	2
official	2
parliaments	2
presidential	2
press	2
proposal	2
reached	2
