name	freq
macedonia	23
police	20
armed	15
group	13
battle	9
albanian	8
ethnic	8
gun	8
kumanovo	8
macedonian	8
said	7
fears	6
gunfire	6
instability	6
killed	6
northern	6
saturday	6
daylong	5
officers	5
skopje	5
sunday	5
crisis	4
described	4
exyugoslav	4
months	4
operation	4
political	4
pursue	4
republic	4
town	4
eight	3
explosions	3
five	3
government	3
heightening	3
interior	3
nato	3
north	3
spokesman	3
wounded	3
area	2
authorities	2
called	2
clashes	2
conference	2
dead	2
deep	2
deepens	2
died	2
following	2
