name	freq
boko	48
haram	47
nigeria	29
niger	26
said	25
nigerian	20
attacks	19
islamist	17
town	17
group	15
militants	14
military	14
security	14
attacked	13
nigerias	13
sources	13
militant	12
troops	12
attack	11
suicide	11
fighters	10
niamey	10
several	10
village	10
chad	9
chadian	9
people	9
bus	8
cameroon	8
offensive	8
regional	8
source	8
crossborder	7
fight	7
local	7
northeast	7
part	7
sending	7
suspected	7
bomber	6
city	6
days	6
diffa	6
female	6
gombe	6
killed	6
nigers	6
northern	6
parliament	6
wednesday	6
