name	freq
philippines	22
china	21
sea	14
south	13
philippine	12
japanese	11
military	11
disputed	8
japan	8
manila	7
princesa	7
puerto	7
plane	6
city	5
according	4
drills	4
exercise	4
officials	4
parts	4
president	4
states	4
united	4
circled	3
island	3
near	3
patrol	3
ruling	3
separate	3
start	3
amid	2
bet	2
bibiclat	2
binay	2
cabinet	2
casino	2
chinaclaimed	2
chinas	2
circles	2
considering	2
construction	2
corruption	2
countries	2
court	2
dispute	2
drill	2
exercises	2
forces	2
government	2
irked	2
islands	2
