name	freq
russia	102
russian	95
said	83
state	70
syria	67
islamic	64
moscow	57
paris	47
putin	45
president	40
france	34
egypt	32
terrorism	30
attacks	29
fight	26
air	25
kremlin	25
says	25
strikes	25
plane	24
vladimir	24
bomb	23
killed	23
militants	23
minister	23
last	22
united	22
security	21
french	19
people	19
states	19
tuesday	19
group	18
russias	18
two	17
global	16
wednesday	16
turkey	15
cairo	14
foreign	14
friday	14
airliner	13
hollande	13
month	13
news	13
official	13
sinai	13
ukraine	13
thursday	12
told	12
