name	freq
saudi	38
said	25
aden	24
deal	18
nuclear	16
iran	14
riyadh	14
exiled	13
security	12
car	11
government	11
officials	11
arabia	10
city	10
driver	10
minister	10
ministry	10
saudibacked	10
thursday	10
yemens	10
fighters	9
forces	9
friday	9
near	9
port	9
prison	9
arabias	8
houthi	8
obama	8
two	8
world	8
foreign	7
official	7
president	7
residents	7
southern	7
state	7
days	6
exploded	6
interior	6
killed	6
militia	6
powers	6
says	6
washington	6
yemeni	6
checkpoint	5
east	5
explodes	5
highest	5
