name	freq
syria	71
state	52
islamic	51
said	38
syrian	37
turkey	36
air	27
group	27
kurdish	27
iraq	23
strikes	22
beirut	21
military	21
turkish	18
united	17
militia	16
northern	16
militants	14
says	14
nato	13
rebel	12
rebels	12
tuesday	12
area	11
attacks	11
forces	11
insurgents	11
states	11
turkeys	11
ankara	10
attack	10
fighters	10
members	10
monday	10
war	10
allies	9
border	9
leader	9
monitoring	9
president	9
support	9
army	8
fighting	8
nations	8
opposition	8
positions	8
statement	8
campaign	7
erdogan	7
groups	7
