name	freq
turkey	91
turkish	74
russian	52
said	50
russia	33
turkeys	29
islamic	27
istanbul	27
syria	27
iraq	24
president	24
state	23
moscow	22
minister	21
ankara	19
jet	19
near	19
says	18
border	16
tuesday	16
erdogan	15
prime	15
deployment	14
obama	14
oil	14
sanctions	14
baghdad	13
downing	13
nato	13
putin	13
troops	13
city	12
iraqi	12
killed	12
wednesday	12
air	11
monday	11
mosul	11
northern	11
paris	11
security	11
told	11
clashes	10
davutoglu	10
official	10
shot	10
tayyip	10
thursday	10
week	10
brussels	9
