name	freq
ukraine	19
russia	14
gas	13
kiev	11
supplies	9
said	8
coal	7
crimea	7
minister	6
power	6
cut	5
energy	5
moscow	5
says	5
blackout	4
demchyshyn	4
european	4
russian	4
charter	3
control	3
extend	3
flights	3
foreign	3
halt	3
restrict	3
sanctions	3
told	3
tuesday	3
volodymyr	3
activists	2
agreement	2
alexander	2
called	2
critical	2
deliveries	2
end	2
enough	2
ensure	2
friday	2
group	2
interests	2
lines	2
main	2
monday	2
months	2
novak	2
opposition	2
parliament	2
russianannexed	2
sabotaged	2
