name	freq
yemen	66
houthi	52
saudi	51
saudiled	47
said	42
yemens	34
strikes	32
air	28
arabia	26
humanitarian	23
saada	21
border	20
forces	20
coalition	19
fiveday	19
houthis	18
truce	17
yemeni	16
ceasefire	15
friday	15
fighting	13
will	13
cairo	12
civilians	12
fighters	12
wednesday	12
aden	11
hit	11
militia	11
aid	10
cairoaden	10
foreign	10
iranianallied	10
proposed	10
province	10
residents	10
state	10
united	10
pause	9
provinces	9
arab	8
country	8
international	8
kerry	8
may	8
minister	8
nations	8
near	8
president	8
rebels	8
