name	freq
president	11
cristina	9
fernández	9
alberto	7
argentine	7
kirchner	7
nisman	7
arrest	6
chinese	6
dead	6
found	6
bombing	5
prosecutors	5
accents	4
china	4
responsibility	4
said	4
speaking	4
twitter	4
visit	4
accused	3
argentina	3
death	3
draft	3
home	3
investigation	3
prosecutor	3
warrant	3
accusing	2
aires	2
argentinas	2
becomes	2
blog	2
broken	2
buenos	2
called	2
caricatured	2
center	2
challenge	2
comments	2
community	2
conspiring	2
cover	2
didnt	2
former	2
helped	2
hosts	2
inquiry	2
investigator	2
iran	2
