name	freq
migrants	36
austria	16
hungary	14
austrian	10
truck	10
border	9
said	9
police	8
germany	7
feet	6
official	6
vienna	6
found	5
station	5
trains	5
travel	5
arrived	4
authorities	4
caused	4
crisis	4
died	4
escaped	4
europe	4
european	4
government	4
new	4
thousands	4
additional	3
amid	3
asylum	3
budapest	3
buses	3
called	3
clarify	3
confused	3
confusion	3
countries	3
cross	3
cuts	3
deaths	3
divided	3
exhausted	3
groups	3
handle	3
helped	3
hungarian	3
inspecting	3
investigators	3
last	3
near	3
