name	freq
trudeau	25
justin	15
canada	14
canadian	9
liberal	9
election	8
stephen	8
minister	7
party	7
prime	7
conservative	6
harper	6
monday	5
unseated	5
victory	5
appears	4
attracted	4
campaign	4
cliffhanger	4
ending	4
indifference	4
initially	4
interest	4
members	4
met	4
news	4
parliament	4
politics	4
summer	4
vacation	4
change	3
changes	3
elections	3
end	3
finish	3
heads	3
issues	3
long	3
parliamentary	3
photo	3
political	3
sweeping	3
win	3
according	2
also	2
belligerent	2
broadcasting	2
campaigners	2
canadians	2
confidence	2
