name	freq
iraqi	12
defense	10
iraq	8
isis	7
said	7
ashton	5
carter	5
secretary	5
airstrike	4
islamic	4
military	4
minister	4
state	4
troops	4
briefing	3
campaign	3
chief	3
investigation	3
officials	3
promised	3
soldiers	3
strike	3
turkey	3
world	3
alabadi	2
alobeidi	2
american	2
attack	2
chinas	2
coalition	2
continuing	2
deaths	2
effort	2
fight	2
fighting	2
government	2
haider	2
inquiry	2
international	2
iraqis	2
khaled	2
killed	2
least	2
led	2
may	2
members	2
might	2
months	2
northern	2
prime	2
