name	freq
camp	9
palestinian	8
yarmouk	6
bank	5
syria	5
refugee	4
trapped	4
west	4
crisis	3
israeli	3
said	3
soldiers	3
syrian	3
appear	2
attacks	2
attention	2
authority	2
back	2
besieged	2
calamity	2
call	2
civilians	2
coordination	2
damascus	2
dehydrated	2
devastated	2
friday	2
gotten	2
impending	2
intended	2
interest	2
israel	2
judge	2
killed	2
krähenbühl	2
leadership	2
malnourished	2
militants	2
mission	2
nations	2
official	2
officials	2
outbreak	2
palestinians	2
pierre	2
press	2
preventing	2
refuge	2
says	2
scale	2
