name	freq
pope	16
climate	15
change	14
francis	12
encyclical	10
vatican	8
popes	7
trial	6
action	4
calls	4
environmental	4
global	4
leak	4
will	4
abuse	3
abusing	3
accused	3
apathy	3
boys	3
charges	3
child	3
destruction	3
dominican	3
exambassador	3
excessive	3
faith	3
former	3
july	3
message	3
open	3
political	3
pornography	3
possessing	3
press	3
profits	3
pursuit	3
reckless	3
republic	3
said	3
sets	3
sexual	3
sexually	3
shortsightedness	3
sweeping	3
swift	3
technology	3
warming	3
add	2
address	2
ammunition	2
