name	freq
yemen	11
militants	7
political	6
houthi	5
qaeda	5
said	5
yemeni	5
brigade	4
headquarters	4
talks	4
armys	3
captured	3
completely	3
fighters	3
fighting	3
heavy	3
leader	3
national	3
power	3
share	3
southeast	3
united	3
ali	2
alsammad	2
anarchy	2
appeared	2
arab	2
arabia	2
bank	2
country	2
crucial	2
deepening	2
duty	2
embassies	2
force	2
good	2
group	2
guard	2
incubator	2
international	2
maintain	2
offices	2
organizations	2
pledges	2
poorest	2
reducing	2
regarded	2
relations	2
reverse	2
rivals	2
