name	freq
aires	7
article	7
buenos	7
full	7
wake	6
argentine	5
government	5
nisman	5
prosecutor	5
spy	5
agency	4
night	4
president	4
read	4
anger	3
angry	3
argentina	3
argentinas	3
assembled	3
attends	3
banners	3
black	3
candles	3
crowd	3
funeral	3
jewish	3
prosecutors	3
roses	3
service	3
absolve	2
accusations	2
alberto	2
attackread	2
buried	2
calls	2
ceremony	2
coverup	2
cristina	2
death	2
defended	2
dissolution	2
dissolve	2
fernández	2
first	2
holocaust	2
iranian	2
kirchner	2
monday	2
mysterious	2
nations	2
