name	freq
three	16
court	15
journalists	12
greste	8
jazeera	8
mohamed	8
prison	8
sentenced	8
years	8
australian	7
egyptian	7
article	6
full	6
absentia	4
aiding	4
appeals	4
april	4
australia	4
authorities	4
baher	4
broadcasting	4
cairo	4
came	4
charges	4
convicted	4
deported	4
earlier	4
egypt	4
escape	4
fahmy	4
false	4
first	4
granted	4
great	4
license	4
news	4
organization	4
part	4
paul	4
peter	4
reporters	4
retrial	4
royle	4
saturday	4
sentences	4
spreading	4
terrorist	4
took	4
verdict	4
war	4
