name	freq
truck	24
article	17
austrian	17
full	17
crisis	16
migrants	15
authorities	14
berlin	14
bodies	14
deaths	14
europes	14
refugee	14
corpses	13
count	12
european	11
international	11
abandoned	9
decomposed	9
discovery	9
escalating	9
highlights	9
launched	9
migrant	9
new	9
probe	9
recriminations	9
round	9
still	9
struggling	9
suspected	9
thursday	9
touched	9
tragedy	9
death	8
libya	8
toll	8
coast	7
crisisread	7
experts	7
forensic	7
found	7
handling	7
immediately	7
many	7
whitesuited	7
badly	6
boat	6
children	6
friday	6
killing	6
