name	freq
attacks	18
belgium	16
suspected	16
arrested	15
belgian	13
brussels	12
new	12
plot	11
holiday	10
two	10
attack	9
police	8
state	8
years	8
islamic	7
seized	7
authorities	6
paris	6
plotting	6
probe	6
due	5
eve	5
extremist	5
group	5
men	5
planning	5
propaganda	5
security	5
suspect	5
terrorist	5
tuesday	5
announced	4
connection	4
fireworks	4
militarytype	4
people	4
uniforms	4
unleash	4
amid	3
arrest	3
canceled	3
display	3
federal	3
foiling	3
holidays	3
plans	3
prosecutor	3
report	3
season	3
threat	3
